name,group,country,language,tvg_id,kind,source,url
"ABC TV QLD (720p)","AU - Entertainment","AU","","ABCTV.au@QLD","hls","","https://c.mjh.nz/abc-qld.m3u8"
"ABC TV SA (720p)","AU - Entertainment","AU","","ABCTV.au@SA","hls","","https://c.mjh.nz/abc-sa.m3u8"
"ABC TV TAS (720p)","AU - Entertainment","AU","","ABCTV.au@TAS","hls","","https://c.mjh.nz/abc-tas.m3u8"
"ABC TV VIC (720p)","AU - Entertainment","AU","","ABCTV.au@VIC","hls","","https://c.mjh.nz/abc-vic.m3u8"
"ABC TV WA (720p)","AU - Entertainment","AU","","ABCTV.au@WA","hls","","https://c.mjh.nz/abc-wa.m3u8"
"Adult Animation","AU - Entertainment","AU","","mjh-10-adultanimation","hls","","https://i.mjh.nz/.r/10-adultanimation.m3u8"
"Air Crash Investigations","AU - Entertainment","AU","","mjh-aircrashinvestigations-fast","hls","","https://i.mjh.nz/.r/aircrashinvestigations-fast.m3u8"
"All Saints","AU - Entertainment","AU","","mjh-allsaints-fast","hls","","https://i.mjh.nz/.r/allsaints-fast.m3u8"
"Anglers Paradise","AU - Entertainment","AU","","mjh-anglersparadise-fast","hls","","https://i.mjh.nz/.r/anglersparadise-fast.m3u8"
"Antiques Road Trip","AU - Entertainment","AU","","mjh-art-fast","hls","","https://i.mjh.nz/.r/art-fast.m3u8"
"Athletics Replays","AU - Entertainment","AU","","mjh-athleticsreplays-fast","hls","","https://i.mjh.nz/.r/athleticsreplays-fast.m3u8"
"ausbiz","AU - Entertainment","AU","","mjh-ausbiz-fast","hls","","https://i.mjh.nz/.r/ausbiz-fast.m3u8"
"Below Deck Vault","AU - Entertainment","AU","","mjh-belowdeckvault-fast","hls","","https://i.mjh.nz/.r/belowdeckvault-fast.m3u8"
"Better Homes And Gardens","AU - Entertainment","AU","","mjh-betterhomesandgardens-fast","hls","","https://i.mjh.nz/.r/betterhomesandgardens-fast.m3u8"
"Blue Heelers","AU - Entertainment","AU","","mjh-blueheelers-fast","hls","","https://i.mjh.nz/.r/blueheelers-fast.m3u8"
"Blue Light","AU - Entertainment","AU","","mjh-bluelight-fast","hls","","https://i.mjh.nz/.r/bluelight-fast.m3u8"
"Bondi Rescue","AU - Entertainment","AU","","mjh-cas41-fast","hls","","https://i.mjh.nz/.r/cas41-fast.m3u8"
"Bondi Vet","AU - Entertainment","AU","","mjh-cas24-fast","hls","","https://i.mjh.nz/.r/cas24-fast.m3u8"
"Border Security Australia","AU - Entertainment","AU","","mjh-bordersecurityaustralia-fast","hls","","https://i.mjh.nz/.r/bordersecurityaustralia-fast.m3u8"
"Botched VAULT","AU - Entertainment","AU","","mjh-botchedvault-fast","hls","","https://i.mjh.nz/.r/botchedvault-fast.m3u8"
"C31 Melbourne (240p)","AU - Entertainment","AU","","C31Melbourne.au@SD","hls","","https://d1k6kax80wecy5.cloudfront.net/RLnAKY/index.m3u8"
"CADA","AU - Entertainment","AU","","mjh-radio-ih-6179","hls","","https://i.mjh.nz/.r/radio-ih-6179.m3u8"
"Channel 44 (480p)","AU - Entertainment","AU","","Channel44.au@SD","hls","","https://d1k6kax80wecy5.cloudfront.net/WFqZJc/index.m3u8"
"Channel 9","AU - Entertainment","AU","","mjh-channel-9-qld","hls","","https://i.mjh.nz/.r/channel-9-qld.m3u8"
"Channel 9 (Gold Coast)","AU - Entertainment","AU","","mjh-channel-9-gold-coast","hls","","https://i.mjh.nz/.r/channel-9-gold-coast.m3u8"
"Chemist Warehouse Remix","AU - Entertainment","AU","","mjh-radio-ih-6178","hls","","https://i.mjh.nz/.r/radio-ih-6178.m3u8"
"Club Lime Test","AU - Entertainment","AU","","mjh-radio-ih-9661","hls","","https://i.mjh.nz/.r/radio-ih-9661.m3u8"
"CSI Crime Scene Investigation","AU - Entertainment","AU","","mjh-csicrimesceneinvestigation-fast","hls","","https://i.mjh.nz/.r/csicrimesceneinvestigation-fast.m3u8"
"Drive","AU - Entertainment","AU","","mjh-drive-fast","hls","","https://i.mjh.nz/.r/drive-fast.m3u8"
"Escape to the Country","AU - Entertainment","AU","","mjh-etc-fast","hls","","https://i.mjh.nz/.r/etc-fast.m3u8"
"Expo Channel (360p)","AU - Entertainment","AU","","ExpoChannel.au@SD","hls","","https://tvsnhlslivetest.akamaized.net/hls/live/2034711/EXPO-MSL4/master.m3u8"
"Ghost Hunters","AU - Entertainment","AU","","mjh-cas21-fast","hls","","https://i.mjh.nz/.r/cas21-fast.m3u8"
"Glasgow Glory","AU - Entertainment","AU","","mjh-glasgowglory-fast","hls","","https://i.mjh.nz/.r/glasgowglory-fast.m3u8"
"GOLD 80s","AU - Entertainment","AU","","mjh-radio-ih-6794","hls","","https://i.mjh.nz/.r/radio-ih-6794.m3u8"
"GOLD Brisbane","AU - Entertainment","AU","","mjh-radio-ih-11388","hls","","https://i.mjh.nz/.r/radio-ih-11388.m3u8"
"H2","AU - Entertainment","AU","","mjh-h2-fast","hls","","https://i.mjh.nz/.r/h2-fast.m3u8"
"Hardcore Pawn","AU - Entertainment","AU","","mjh-hardcorepawn-fast","hls","","https://i.mjh.nz/.r/hardcorepawn-fast.m3u8"
"Hells Kitchen","AU - Entertainment","AU","","mjh-heki-fast","hls","","https://i.mjh.nz/.r/heki-fast.m3u8"
"Home and Away Classics","AU - Entertainment","AU","","mjh-cas26-fast","hls","","https://i.mjh.nz/.r/cas26-fast.m3u8"
"iHeartCountry Australia","AU - Entertainment","AU","","mjh-radio-ih-7222","hls","","https://i.mjh.nz/.r/radio-ih-7222.m3u8"
"iHeartRadio Countdown AUS","AU - Entertainment","AU","","mjh-radio-ih-6902","hls","","https://i.mjh.nz/.r/radio-ih-6902.m3u8"
"JonmoBhumi TV (720p)","AU - Entertainment","AU","","JonmoBhumiTV.au@SD","hls","","https://jtvs.ncare.live/Gznr84Woj7UEye3OPVeWq2ForboWAgdV/jonmobhumitv.stream/playlist.m3u8"
"Judge Judy","AU - Entertainment","AU","","mjh-judgejudy-fast","hls","","https://i.mjh.nz/.r/judgejudy-fast.m3u8"
"Judge Judy","AU - Entertainment","AU","","mjh-10-judge-judy","hls","","https://i.mjh.nz/.r/10-judge-judy.m3u8"
"KIIS 90s","AU - Entertainment","AU","","mjh-radio-ih-6793","hls","","https://i.mjh.nz/.r/radio-ih-6793.m3u8"
"KIIS 973","AU - Entertainment","AU","","mjh-radio-ih-6176","hls","","https://i.mjh.nz/.r/radio-ih-6176.m3u8"
"KIIS Australia","AU - Entertainment","AU","","mjh-radio-ih-7050","hls","","https://i.mjh.nz/.r/radio-ih-7050.m3u8"
"KIIS Dance","AU - Entertainment","AU","","mjh-radio-ih-6941","hls","","https://i.mjh.nz/.r/radio-ih-6941.m3u8"
"Kitchen Nightmares","AU - Entertainment","AU","","mjh-kitchennightmares-fast","hls","","https://i.mjh.nz/.r/kitchennightmares-fast.m3u8"
"LIV Golf Replays","AU - Entertainment","AU","","mjh-livgolfreplays-fast","hls","","https://i.mjh.nz/.r/livgolfreplays-fast.m3u8"
"LMN","AU - Entertainment","AU","","mjh-lmn-fast","hls","","https://i.mjh.nz/.r/lmn-fast.m3u8"
"Medical And Rescue","AU - Entertainment","AU","","mjh-medicalnrescue-fast","hls","","https://i.mjh.nz/.r/medicalnrescue-fast.m3u8"
"Mighty Machines","AU - Entertainment","AU","","mjh-mightymachines-fast","hls","","https://i.mjh.nz/.r/mightymachines-fast.m3u8"
"Million Dollar Listing VAULT","AU - Entertainment","AU","","mjh-cas40-fast","hls","","https://i.mjh.nz/.r/cas40-fast.m3u8"
"Mission Asia (1080p)","AU - Entertainment","AU","","MissionAsia.au@SD","hls","","https://livecdn.live247stream.com/missionasia/tv/playlist.m3u8"
"Moviesphere","AU - Entertainment","AU","","mjh-10-moviesphere","hls","","https://i.mjh.nz/.r/10-moviesphere.m3u8"
"Mythbusters","AU - Entertainment","AU","","mjh-mythbusters-fast","hls","","https://i.mjh.nz/.r/mythbusters-fast.m3u8"
"NCIS","AU - Entertainment","AU","","mjh-ncis-fast","hls","","https://i.mjh.nz/.r/ncis-fast.m3u8"
"Nine","AU - Entertainment","AU","","NineNetwork.au","hls","","https://i.mjh.nz/.r/channel-9-nsw.m3u8"
"On The Case","AU - Entertainment","AU","","mjh-onthecase-fast","hls","","https://i.mjh.nz/.r/onthecase-fast.m3u8"
"Outback Truckers","AU - Entertainment","AU","","mjh-outbacktruckers-fast","hls","","https://i.mjh.nz/.r/outbacktruckers-fast.m3u8"
"Project Runway","AU - Entertainment","AU","","mjh-10-projectrunway","hls","","https://i.mjh.nz/.r/10-projectrunway.m3u8"
"QRL Hostplus Cup 2026","AU - Entertainment","AU","","mjh-qrl-hostplus-cup-2026-fast","hls","","https://i.mjh.nz/.r/qrl-hostplus-cup-2026-fast.m3u8"
"Redbull TV","AU - Entertainment","AU","","mjh-redbull-tv","hls","","https://i.mjh.nz/.r/redbull-tv.m3u8"
"rise 96.5","AU - Entertainment","AU","","mjh-radio-ih-6309","hls","","https://i.mjh.nz/.r/radio-ih-6309.m3u8"
"River 949","AU - Entertainment","AU","","mjh-radio-ih-9287","hls","","https://i.mjh.nz/.r/radio-ih-9287.m3u8"
"SBS 3","AU - Entertainment","AU","","mjh-radio-ih-7026","hls","","https://i.mjh.nz/.r/radio-ih-7026.m3u8"
"Seinfeld","AU - Entertainment","AU","","mjh-seinfeld-fast","hls","","https://i.mjh.nz/.r/seinfeld-fast.m3u8"
"Seven","AU - Entertainment","AU","","SevenNetwork.au","hls","","https://i.mjh.nz/.r/seven-syd.m3u8"
"Seven","AU - Entertainment","AU","","mjh-seven-bri","hls","","https://i.mjh.nz/.r/seven-bri.m3u8"
"Seven Cairns","AU - Entertainment","AU","","mjh-seven-cns","hls","","https://i.mjh.nz/.r/seven-cns.m3u8"
"Seven Mackay","AU - Entertainment","AU","","mjh-seven-mky","hls","","https://i.mjh.nz/.r/seven-mky.m3u8"
"Seven Rockhampton","AU - Entertainment","AU","","mjh-seven-rky","hls","","https://i.mjh.nz/.r/seven-rky.m3u8"
"Seven Sunshine Coast","AU - Entertainment","AU","","mjh-seven-ssc","hls","","https://i.mjh.nz/.r/seven-ssc.m3u8"
"Seven Toowoomba","AU - Entertainment","AU","","mjh-seven-twb","hls","","https://i.mjh.nz/.r/seven-twb.m3u8"
"Seven Townsville","AU - Entertainment","AU","","mjh-seven-tsv","hls","","https://i.mjh.nz/.r/seven-tsv.m3u8"
"Seven Wide Bay","AU - Entertainment","AU","","mjh-seven-wby","hls","","https://i.mjh.nz/.r/seven-wby.m3u8"
"Surveillance Central","AU - Entertainment","AU","","mjh-surveillancecentral-fast","hls","","https://i.mjh.nz/.r/surveillancecentral-fast.m3u8"
"Swimming Replays","AU - Entertainment","AU","","mjh-swimmingreplays-fast","hls","","https://i.mjh.nz/.r/swimmingreplays-fast.m3u8"
"The Bounce","AU - Entertainment","AU","","mjh-radio-ih-6327","hls","","https://i.mjh.nz/.r/radio-ih-6327.m3u8"
"The Yorkshire Vet","AU - Entertainment","AU","","mjh-cas33-fast","hls","","https://i.mjh.nz/.r/cas33-fast.m3u8"
"TikTok Trending on iHeart","AU - Entertainment","AU","","mjh-radio-ih-8876","hls","","https://i.mjh.nz/.r/radio-ih-8876.m3u8"
"Travel Australia","AU - Entertainment","AU","","mjh-travelaustralia-fast","hls","","https://i.mjh.nz/.r/travelaustralia-fast.m3u8"
"Triple A Murri Country","AU - Entertainment","AU","","mjh-radio-ih-9041","hls","","https://i.mjh.nz/.r/radio-ih-9041.m3u8"
"Trucking Hell","AU - Entertainment","AU","","mjh-truckinghell-fast","hls","","https://i.mjh.nz/.r/truckinghell-fast.m3u8"
"True Crime Files","AU - Entertainment","AU","","mjh-truecrimefiles-fast","hls","","https://i.mjh.nz/.r/truecrimefiles-fast.m3u8"
"TVSN","AU - Entertainment","AU","","mjh-tvsn-fast","hls","","https://i.mjh.nz/.r/tvsn-fast.m3u8"
"TVSN (1080p)","AU - Entertainment","AU","","TVSN.au@SD","hls","","https://tvsnhlslivetest.akamaized.net/hls/live/2034711/TVSN-MSL4/master.m3u8"
"Water Rats","AU - Entertainment","AU","","mjh-waterrats-fast","hls","","https://i.mjh.nz/.r/waterrats-fast.m3u8"
"Wicked Tuna","AU - Entertainment","AU","","mjh-wtn-fast","hls","","https://i.mjh.nz/.r/wtn-fast.m3u8"
"Winners & Losers","AU - Entertainment","AU","","mjh-winnersnlosers-fast","hls","","https://i.mjh.nz/.r/winnersnlosers-fast.m3u8"
"Bellator MMA","US - PPV / Main Events","US","","BellatorMMA.us@SD","hls","","https://jmp2.uk/plu-5ebc8688f3697d00072f7cf8.m3u8"
"TVS Boxing (360p)","US - PPV / Main Events","US","","TVSBoxing.us@SD","hls","","https://rpn.bozztv.com/gusa/gusa-tvsboxing/index.m3u8"
"30A Golf Kingdom (720p)","US - Sports","US","","30AGolfKingdom.us@SD","hls","","https://30a-tv.com/feeds/vidaa/golf.m3u8"
"ACC Digital Network","US - Sports","US","","ACCDigitalNetwork.us","hls","","https://d53csymoczzde.cloudfront.net/ACC_Digital_Network.m3u8"
"ACC Digital Network","US - Sports","US","","ACCDigitalNetwork.us","hls","","https://aegis-cloudfront-1.tubi.video/a1e671ae-d1c2-4e39-99c7-889e83056fd2/playlist.m3u8"
"ACCDN (1080p)","US - Sports","US","","ACCDigitalNetwork.us@SD","hls","","https://raycom-accdn-firetv.amagi.tv/playlist.m3u8"
"beIN SPORTS XTRA","US - Sports","US","","beINSPORTSXTRA.us","hls","","https://bein-beinxtrasports-firetv.amagi.tv/playlist.m3u8"
"beIN SPORTS XTRA","US - Sports","US","","beINSPORTSXTRA.us","hls","","https://d9ssxzmclhfo4.cloudfront.net/bein_sports.m3u8"
"beIN SPORTS XTRA","US - Sports","US","","beINSPORTSXTRA.us","hls","","https://aegis-cloudfront-1.tubi.video/651ee7d3-e75b-4748-be86-422d43ff24b6/playlist.m3u8"
"beIN SPORTS XTRA","US - Sports","US","","beINSPORTSXTRA.us","hls","","https://bein-xtra-xumo.amagi.tv/playlist.m3u8"
"beIN SPORTS XTRA (1080p)","US - Sports","US","","beINSPORTSXTRA.us@SD","hls","","https://bein-xtra-bein.amagi.tv/playlist.m3u8"
"beIN SPORTS XTRA en Espanol","US - Sports","US","","beINSPORTSXTRAenEspanol.us","hls","","https://dc1644a9jazgj.cloudfront.net/beIN_Sports_Xtra_Espanol.m3u8"
"beIN SPORTS XTRA en Espanol","US - Sports","US","","beINSPORTSXTRAenEspanol.us","hls","","https://aegis-cloudfront-1.tubi.video/01f6c149-449b-4248-8bda-2278799205ec/playlist.m3u8"
"beIN SPORTS XTRA en Espanol","US - Sports","US","","beINSPORTSXTRAenEspanol.us","hls","","https://bein-esp-xumo.amagi.tv/playlist.m3u8"
"BEK TV Sports West (720p)","US - Sports","US","","BEKSports.us@West","hls","","https://cdn3.wowza.com/5/ZWQ1K2NYTmpFbGsr/BEK-WOWZA-1/smil:BEKPRIMEW.smil/playlist.m3u8"
"Billiard TV (1080p) [Geo-blocked]","US - Sports","US","","BilliardTV.us@SD","hls","","https://pb-wm04vonaerv0k.akamaized.net/billi.m3u8"
"CBS Sports HQ","US - Sports","US","","CBSSportsHQ.us","hls","","https://jmp2.uk/plu-5e9f2c05172a0f0007db4786.m3u8"
"CBS Sports HQ (1080p) [Geo-blocked]","US - Sports","US","","CBSSportsHQ.us@SD","hls","","https://propee33f9c2.airspace-cdn.cbsivideo.com/index.m3u8"
"DraftKings Network","US - Sports","US","","DraftKingsNetwork.us","hls","","https://d2obyvq5go60aw.cloudfront.net/DraftKings_Network.m3u8"
"DraftKings Network (1080p)","US - Sports","US","","DraftKingsNetwork.us@SD","hls","","https://na.linear.zype.com/e0bd0e23-a958-4e43-8164-4f2fef8876a8/fd3614bd-90bf-4530-a277-65ae3a1720c8-zype/live.m3u8"
"ESPN8 The Ocho (1080p)","US - Sports","US","","ESPN8TheOcho.us@ESPN8TheOchoHD","hls","","https://d3b6q2ou5kp8ke.cloudfront.net/ESPNTheOcho.m3u8"
"Fox Deportes","US - Sports","US","","FoxDeportes.us","hls","","https://live-manifest.production-public.tubi.io/live/d906efca-1302-4e29-b0d9-9a1d7a305d69/playlist.m3u8"
"Fox Sports 1","US - Sports","US","","FoxSports1.us","hls","","https://tvsen7.aynascope.net/foxsports1/index.m3u8"
"Fox Sports 2 (720p)","US - Sports","US","","FoxSports2.us@HD","hls","","https://tvsen7.aynascope.net/foxsports2/index.m3u8"
"FTF Sports","US - Sports","US","","FTFSports.us","hls","","https://1657061170.rsc.cdn77.org/HLS/FTF-LINEAR.m3u8"
"FTF Sports","US - Sports","US","","FTFSports.us","hls","","https://a-cdn.klowdtv.com/live2/ftf_720p/playlist.m3u8"
"FTF Sports (720p)","US - Sports","US","","FTFSports.us@SD","hls","","https://1593604785.rsc.cdn77.org/FTF/FTF_SCTE.m3u8"
"Fubo Sports Network","US - Sports","US","","FuboSportsNetwork.us","hls","","https://aegis-cloudfront-1.tubi.video/c2ac89da-5c69-439e-b85d-d87de0548b54/5.m3u8"
"Fubo Sports Network","US - Sports","US","","FuboSportsNetwork.us","hls","","https://aegis-cloudfront-1.tubi.video/c2ac89da-5c69-439e-b85d-d87de0548b54/playlist.m3u8"
"fubo Sports Network (1080p)","US - Sports","US","","FuboSportsNetwork.us@SD","hls","","https://dnf08l6u6uxnz.cloudfront.net/master.m3u8"
"GLORY Kickboxing (720p)","US - Sports","US","","GloryKickboxing.us@Poland","hls","","https://6f972d29.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0dsb3J5S2lja2JveGluZ19ITFM/playlist.m3u8"
"Golazo Network (720p)","US - Sports","US","","GolazoNetwork.us@SD","hls","","https://jmp2.uk/plu-63a0e33a45264d000850ed7e.m3u8"
"Lacrosse TV (720p)","US - Sports","US","","LacrosseTV.us@SD","hls","","https://a-cdn.klowdtv.com/live2/lsn_720p/playlist.m3u8"
"Midpen Media Center Youth Education and Sports Channel 28 (720p)","US - Sports","US","","MidpenMediaCenterChannel28.us@SD","hls","","https://5c2974786200d.streamlock.net/live-chan28/ngrp:ch28_all/playlist.m3u8"
"MLB","US - Sports","US","","MLB.us","hls","","https://jmp2.uk/plu-5e66968a70f34c0007d050be.m3u8"
"MLB","US - Sports","US","","MLB.us","hls","","https://aegis-cloudfront-1.tubi.video/36ef2f9d-7100-4c4d-b41a-dbf41ab7e461/playlist.m3u8"
